#Wave_number	#Intensity
2201.080078	3785.710449
2199.814453	3783.088867
2198.546875	3861.365234
2197.279297	3835.058105
2196.011719	3836.373779
2194.744141	3762.749268
2193.476563	3884.353516
2192.208984	3664.861084
2190.939453	3758.844971
2189.671875	3821.264893
2188.402344	3794.994873
2187.134766	3831.776123
2185.865234	3815.361572
2184.595703	3842.279297
2183.326172	3770.735107
2182.056641	3815.369385
2180.785156	3795.031738
2179.515625	3784.541016
2178.244141	3772.086182
2176.974609	3734.059570
2175.703125	3865.210205
2174.431641	3864.547607
2173.160156	3722.307617
2171.888672	3747.227539
2170.617188	3787.864258
2169.345703	3791.145508
2168.072266	3816.040283
2166.800781	3736.799072
2165.527344	3781.337891
2164.253906	3741.409180
2162.982422	3778.076904
2161.708984	3763.685547
2160.435547	3710.039307
2159.160156	3687.813721
2157.886719	3808.843994
2156.613281	3745.407471
2155.337891	3813.421875
2154.064453	3777.464111
2152.789063	3808.191162
2151.513672	3701.663574
2150.238281	3708.869385
2148.962891	3727.832275
2147.687500	3721.313477
2146.410156	3663.855469
2145.134766	3747.460938
2143.857422	3764.444824
2142.582031	3744.215820
2141.304688	3741.614746
2140.027344	3713.565918
2138.750000	3765.774170
2137.472656	3696.634766
2136.195313	3746.871094
2134.917969	3804.915039
2133.638672	3800.349609
2132.361328	3723.428955
2131.082031	3695.415771
2129.802734	3696.735596
2128.523438	3660.917969
2127.244141	3840.078857
2125.964844	3778.847900
2124.685547	3748.894775
2123.406250	3650.588867
2122.125000	3767.135010
2120.845703	3715.720947
2119.564453	3685.798828
2118.283203	3780.807617
2117.001953	3665.015869
2115.720703	3707.312256
2114.439453	3636.443115
2113.158203	3643.619873
2111.876953	3728.802490
2110.593750	3802.256348
2109.312500	3688.529053
2108.029297	3676.199219
2106.746094	3697.004395
2105.462891	3719.750732
2104.179688	3715.214355
2102.896484	3617.181885
2101.613281	3702.250732
2100.330078	3672.405518
2099.044922	3712.657471
2097.761719	3630.264648
2096.476563	3748.357178
2095.191406	3821.654297
2093.906250	3713.992920
2092.621094	3713.353516
2091.335938	3702.989990
2090.050781	3657.628662
2088.763672	3641.445313
2087.478516	3699.133545
2086.191406	3700.439941
2084.906250	3717.291260
2083.619141	3697.222412
2082.332031	3700.470703
2081.044922	3668.758545
2079.757813	3617.638672
2078.468750	3593.717529
2077.181641	3705.685791
2075.892578	3639.059082
2074.605469	3673.360840
2073.316406	3630.044434
2072.027344	3644.937256
2070.738281	3570.608398
2069.449219	3564.175293
2068.160156	3598.459961
2066.871094	3617.224365
2065.580078	3628.229736
2064.291016	3579.158691
2063.000000	3611.478760
2061.708984	3674.782227
2060.417969	3616.043945
2059.126953	3689.006592
2057.835938	3636.094238
2056.544922	3629.659668
2055.253906	3636.775635
2053.960938	3616.796631
2052.669922	3606.498535
2051.376953	3617.483398
2050.083984	3634.266602
2048.791016	3656.845215
2047.498047	3588.542236
2046.205078	3547.326904
2044.912109	3579.572510
2043.619141	3536.440186
2042.324219	3557.083252
2041.029297	3502.378418
2039.736328	3594.484863
2038.441406	3613.175781
2037.146484	3629.929443
2035.851563	3633.163574
2034.556641	3534.098633
2033.261719	3616.470459
2031.964844	3596.551025
2030.669922	3518.763916
2029.373047	3539.373291
2028.076172	3579.260010
2026.779297	3507.300049
2025.482422	3556.817383
2024.185547	3533.073242
2022.888672	3594.131348
2021.591797	3481.755127
2020.292969	3589.036377
2018.996094	3480.551758
2017.697266	3601.276855
2016.400391	3550.591797
2015.101563	3596.181641
2013.802734	3570.537354
2012.503906	3521.808105
2011.203125	3528.895752
2009.904297	3493.656982
2008.605469	3537.292969
2007.304688	3428.984619
